Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,RL,65,8450,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,856,GasA,Ex,Y,SBrkr,856,854,1710,1,0,2,1,3,1,Gd,8,0,Attchd,2003,2,548,Y,0,61,0,2,2008,WD,Normal,208500
2,20,RL,80,9600,Pave,Reg,Lvl,AllPub,FR2,Veenker,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,1262,GasA,Ex,Y,SBrkr,1262,0,1262,0,1,2,0,3,1,TA,6,1,Attchd,1976,2,460,Y,298,0,0,5,2007,WD,Normal,181500
3,60,RL,68,11250,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,920,GasA,Ex,Y,SBrkr,920,866,1786,1,0,2,1,3,1,Gd,6,1,Attchd,2001,2,608,Y,0,42,0,9,2008,WD,Normal,223500
4,70,RL,60,9550,Pave,IR1,Lvl,AllPub,Corner,Crawfor,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,None,0,TA,TA,BrkTil,TA,Gd,No,756,GasA,Gd,Y,SBrkr,961,756,1717,1,0,1,0,3,1,Gd,7,1,Detchd,1998,3,642,Y,0,35,0,2,2006,WD,Abnorml,140000
5,60,RL,84,14260,Pave,IR1,Lvl,AllPub,FR2,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,1,0,2,1,4,1,Gd,9,1,Attchd,2000,3,836,Y,192,84,0,12,2008,WD,Normal,250000
6,50,RL,85,14115,Pave,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,796,GasA,Ex,Y,SBrkr,796,566,1362,1,0,1,1,1,1,TA,5,0,Attchd,1993,2,480,Y,40,30,0,10,2009,WD,Normal,143000
7,20,RL,75,10084,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,1686,GasA,Ex,Y,SBrkr,1694,0,1694,1,0,2,0,3,1,Gd,7,1,Attchd,2004,2,636,Y,255,57,0,8,2007,WD,Normal,307000
8,60,RL,,10382,Pave,IR1,Lvl,AllPub,Corner,NWAmes,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,1107,GasA,Ex,Y,SBrkr,1107,983,2090,1,0,2,1,3,1,TA,7,2,Attchd,1973,2,484,Y,235,204,0,11,2009,WD,Normal,200000
9,50,RM,51,6120,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,None,0,TA,TA,BrkTil,TA,TA,No,952,GasA,Gd,Y,FuseF,1022,752,1774,0,0,2,0,2,2,TA,8,2,Detchd,1931,2,468,Y,90,0,0,4,2008,WD,Abnorml,129900
10,190,RL,50,7420,Pave,Reg,Lvl,AllPub,Corner,BrkSide,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,991,GasA,Ex,Y,SBrkr,1077,0,1077,1,0,1,0,2,2,TA,5,2,Attchd,1939,1,205,Y,0,4,0,1,2008,WD,Normal,118000
11,20,RL,70,11200,Pave,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1,0,1,0,3,1,TA,5,0,Detchd,1965,1,384,Y,0,0,0,2,2008,WD,Normal,129500
12,60,RL,85,11924,Pave,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Stone,286,Ex,TA,PConc,Ex,TA,No,1175,GasA,Ex,Y,SBrkr,1182,1142,2324,1,0,3,0,4,1,Ex,11,2,BuiltIn,2005,3,736,Y,147,21,0,7,2006,New,Partial,345000
13,20,RL,,12968,Pave,IR2,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,912,GasA,TA,Y,SBrkr,912,0,912,1,0,1,0,2,1,TA,4,0,Detchd,1962,1,352,Y,140,0,0,9,2008,WD,Normal,144000
14,20,RL,91,10652,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,Stone,306,Gd,TA,PConc,Gd,TA,Av,1494,GasA,Ex,Y,SBrkr,1494,0,1494,0,0,2,0,3,1,Gd,7,1,Attchd,2006,3,840,Y,160,33,0,8,2007,New,Partial,279500
15,20,RL,,10920,Pave,IR1,Lvl,AllPub,Corner,NAmes,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,BrkFace,212,TA,TA,CBlock,TA,TA,No,1253,GasA,TA,Y,SBrkr,1253,0,1253,1,0,1,1,2,1,TA,5,1,Attchd,1960,1,352,Y,0,213,0,5,2008,WD,Normal,157000
16,45,RM,51,6120,Pave,Reg,Lvl,AllPub,Corner,BrkSide,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,832,GasA,Ex,Y,FuseA,854,0,854,0,0,1,0,2,1,TA,5,0,Detchd,1991,2,576,Y,48,112,0,7,2007,WD,Normal,132000
17,20,RL,,11241,Pave,IR1,Lvl,AllPub,CulDSac,NAmes,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,BrkFace,180,TA,TA,CBlock,TA,TA,No,1004,GasA,Ex,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,TA,5,1,Attchd,1970,2,480,Y,0,0,0,3,2010,WD,Normal,149000
18,90,RL,72,10791,Pave,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,None,0,TA,TA,Slab,,,NA,0,GasA,TA,Y,SBrkr,1296,0,1296,0,0,2,0,2,2,TA,6,0,CarPort,1967,2,516,Y,0,0,0,10,2006,WD,Normal,90000
19,20,RL,66,13695,Pave,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,None,0,TA,TA,PConc,TA,TA,No,1114,GasA,Ex,Y,SBrkr,1114,0,1114,1,0,1,1,3,1,Gd,6,0,Detchd,2004,2,576,Y,0,102,0,6,2008,WD,Normal,159000
20,20,RL,70,7560,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,None,0,TA,TA,CBlock,TA,TA,No,1029,GasA,TA,Y,SBrkr,1339,0,1339,0,0,1,0,3,1,TA,6,0,Attchd,1958,1,294,Y,0,0,0,5,2009,COD,Abnorml,139000
21,60,RL,101,14215,Pave,IR1,Lvl,AllPub,Corner,NridgHt,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,BrkFace,380,Gd,TA,PConc,Ex,TA,Av,1158,GasA,Ex,Y,SBrkr,1158,1218,2376,0,0,3,1,4,1,Gd,9,1,BuiltIn,2005,3,853,Y,240,154,0,11,2006,New,Partial,325300
22,45,RM,57,7449,Pave,Reg,Bnk,AllPub,Inside,IDOTRR,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,None,0,TA,TA,PConc,TA,TA,No,637,GasA,Ex,Y,FuseF,1108,0,1108,0,0,1,0,3,1,Gd,6,1,Attchd,1930,1,280,N,0,0,0,6,2007,WD,Normal,139400
23,20,RL,75,9742,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,BrkFace,281,Gd,TA,PConc,Gd,TA,No,1777,GasA,Ex,Y,SBrkr,1795,0,1795,0,0,2,0,3,1,Gd,7,1,Attchd,2002,2,534,Y,171,159,0,9,2008,WD,Normal,230000
24,120,RM,44,4224,Pave,Reg,Lvl,AllPub,Inside,MeadowV,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,None,0,TA,TA,PConc,Gd,TA,No,1040,GasA,TA,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,TA,6,1,Attchd,1976,2,572,Y,100,110,0,6,2007,WD,Normal,129900
25,20,RL,,8246,Pave,IR1,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,8,1968,2001,Gable,Plywood,None,0,TA,Gd,CBlock,TA,TA,Mn,1060,GasA,Ex,Y,SBrkr,1060,0,1060,1,0,1,0,3,1,Gd,6,1,Attchd,1968,1,270,Y,406,90,0,5,2010,WD,Normal,154000
